Model,MAE_mean,MAE_std,RMSE_mean,R2_mean,R2_std,Train_R2_mean,Fit_Time_s,Train_CV_R2_Gap
CatBoost,6978.53045554,122.32782057077289,8962.436996062743,0.9848991035758903,0.0006893193192369019,0.9931398514647787,20.182617902755737,0.0082407478888884
HistGradientBoosting,7263.393925062155,67.66770957593074,9348.93938710629,0.9835739165580388,0.0005862308988195431,0.991103608465673,3.253382921218872,0.007529691907634195
Gradient Boosting,7393.27786179055,116.55449983270513,9525.319939782683,0.9829479827109029,0.0007016443347682438,0.986274052761525,6.1885294914245605,0.003326070050622132
XGBoost,8108.0602609375,217.41642763976273,10485.948278395197,0.9793160643282002,0.0013927378719915335,0.9995663882971751,4.756311893463135,0.02025032396897497
Random Forest,8216.40517474892,169.08992749888967,10670.32852758879,0.9785832396023253,0.0013624606414274817,0.9971227144320943,9.591139078140259,0.01853947482976903
Ridge Regression,8489.04788689381,102.40606803096787,10738.556509143873,0.9782956927818333,0.0015445524738941189,0.9787014367393606,0.5480237007141113,0.00040574395752734915
Lasso Regression,8489.126648572219,102.3437076166108,10738.224994716777,0.9782971089928185,0.0015440287787232064,0.9787016672542469,0.7223234176635742,0.00040455826142837825
Linear Regression,8489.527740659445,102.0903211104538,10738.625519967263,0.9782955644027753,0.0015427040508955959,0.9787017491787262,0.6376986503601074,0.00040618477595089075
Decision Tree,11241.980409926127,236.3141422744602,14832.745900320693,0.9586250131734715,0.0023289564198974606,0.9966767790895963,0.6714086532592773,0.0380517659161248
